OrderID,OrderDate,Region,City,Category,SubCategory,CustomerID,CustomerAge,Gender,Quantity,UnitPrice,Discount,Revenue,Profit,PaymentMode
1,1/21/2023,West,Kolkata,Furniture,Bed,CUST1614,36,Female,4,960,0.06,3609.6,599.53,Cash
2,5/30/2023,West,Bangalore,Electronics,Mobile,CUST1308,19,Male,3,3544,0.18,8718.24,1635.35,Card
3,11/10/2023,East,Delhi,Clothing,Dress,CUST1021,42,Female,4,2533,0.05,9625.4,3320.56,Cash
4,7/7/2023,West,Delhi,Electronics,TV,CUST1975,32,Female,1,574,0.18,470.68,168.57,Net Banking
5,5/11/2023,West,Hyderabad,Clothing,Dress,CUST1484,24,Female,3,1999,0.15,5097.45,1133.04,Net Banking
6,11/12/2023,West,Kolkata,Clothing,Shirt,CUST1013,26,Female,5,2988,0.02,14641.2,1688.63,UPI
7,9/21/2023,West,Mumbai,Grocery,Snacks,CUST1942,52,Male,2,2712,0.07,5044.32,1652.99,Card
8,2/23/2023,North,Hyderabad,Electronics,Laptop,CUST1105,21,Male,1,2055,0.05,1952.25,338.5,Cash
9,7/21/2023,East,Bangalore,Grocery,Rice,CUST1957,53,Male,5,4898,0.25,18367.5,4868.74,Card
10,8/25/2023,East,Chennai,Electronics,Mobile,CUST1337,41,Male,4,1116,0.29,3169.44,464.77,Cash
11,6/6/2023,South,Mumbai,Grocery,Snacks,CUST1014,18,Male,2,4959,0.18,8132.76,2579.71,UPI
12,3/4/2023,West,Mumbai,Clothing,Jeans,CUST1138,34,Female,1,2668,0.23,2054.36,699.27,UPI
13,8/19/2023,North,Mumbai,Electronics,TV,CUST1040,45,Female,3,4614,0.23,10658.34,4026.58,UPI
14,3/3/2023,South,Mumbai,Electronics,Laptop,CUST1727,54,Female,1,4975,0.1,4477.5,1705.63,Card
15,8/15/2023,East,Bangalore,Clothing,Jacket,CUST1612,31,Male,3,2831,0.19,6879.33,920.7,Card
16,12/25/2023,South,Bangalore,Electronics,Headphones,CUST1794,26,Male,3,3940,0.22,9219.6,3035.13,Cash
17,8/29/2023,East,Delhi,Electronics,Headphones,CUST1563,49,Male,2,1584,0.06,2977.92,390.91,Card
18,5/23/2023,East,Hyderabad,Electronics,Mobile,CUST1170,46,Female,4,1857,0.04,7130.88,1559.34,UPI
19,6/19/2023,West,Delhi,Electronics,Headphones,CUST1556,23,Male,4,1822,0.21,5757.52,782.21,Net Banking
20,5/8/2023,East,Hyderabad,Grocery,Oil,CUST1505,45,Male,4,3727,0.12,13119.04,1771.28,UPI
21,10/10/2023,West,Mumbai,Clothing,Dress,CUST1957,30,Female,1,3402,0.27,2483.46,790.64,UPI
22,5/17/2023,West,Kolkata,Clothing,Jacket,CUST1317,54,Female,1,1382,0,1382,341.04,Net Banking
23,6/9/2023,North,Mumbai,Grocery,Rice,CUST1607,41,Male,1,4879,0.07,4537.47,1585.9,Net Banking
24,2/21/2023,East,Hyderabad,Grocery,Rice,CUST1267,56,Female,1,3863,0.11,3438.07,372.91,UPI
25,4/23/2023,South,Bangalore,Furniture,Chair,CUST1001,19,Female,2,1736,0.09,3159.52,1228.84,Card
26,5/6/2023,North,Chennai,Furniture,Chair,CUST1129,43,Male,4,954,0.08,3510.72,447.69,Net Banking
27,9/12/2023,South,Bangalore,Grocery,Rice,CUST1293,41,Female,4,3610,0.23,11118.8,3654.85,Cash
